STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
17200,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17200.00,40914,9028,28.31336636768488,325264,27.38,2.45,-13.5,-84.63949843260188,229050,96200,300,2.2,200,2.55,17929.65
17250,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17250.00,17,-9,-34.61538461538461,95,53.09,746.95,276.6,58.80727118103541,41500,15150,50,741.9,100,750.15,17929.65
17250,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17250.00,7485,1730,30.06081668114683,86610,25.99,2.6,-16.849999999999998,-86.63239074550127,84400,36250,1800,2.3,600,2.9,17929.65
17300,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17300.00,345,3,0.8771929824561403,1242,50.33,696.5,260.45,59.72938883155601,52400,16300,50,694.2,100,699.65,17929.65
17300,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17300.00,38998,8690,28.67229774317012,353898,24.57,2.75,-23.15,-89.38223938223938,175850,105650,350,2.6,300,3.1,17929.65
17350,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17350.00,46,-12,-20.6896551724138,265,47.77,646.8,256.6,65.76114812916452,158850,16050,50,620.4,1150,653.15,17929.65
17350,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17350.00,6597,1985,43.03989592367736,144129,23.3,3.05,-29.2,-90.54263565891472,74700,29200,1450,3.05,250,3.65,17929.65
17400,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17400.00,711,-126,-15.053763440860216,3510,45.73,599.0,253.4,73.32175925925924,75050,17700,200,595.8,100,599.4,17929.65
17400,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17400.00,37046,9745,35.69466319915021,501245,22.28,3.65,-36.8,-90.97651421508036,170150,131900,350,3.6,150,3.65,17929.65
17450,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17450.00,244,-164,-40.19607843137255,893,44.28,553.65,254.54999999999995,85.10531594784351,159700,16900,700,544.45,1550,553.6,17929.65
17450,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17450.00,10243,3979,63.52171136653895,237771,20.73,3.85,-46.2,-92.3076923076923,78600,63450,8400,3.65,600,4.2,17929.65
17500,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17500.00,3636,-1942,-34.81534600215131,25429,40.65,500.6,232.95000000000005,87.03530730431535,95550,23850,50,498.1,50,500.95,17929.65
17500,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17500.00,69437,25651,58.582651989220295,892033,20.12,5.25,-56.55,-91.50485436893204,362900,421600,800,5.25,100,5.3,17929.65
17550,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17550.00,872,-86,-8.977035490605427,6168,37.93,451.05,217.25,92.9213002566296,156950,18750,50,450.0,200,453.75,17929.65
17550,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17550.00,16474,11419,225.8951533135509,284912,19.0,6.35,-70.5,-91.73715029277815,82600,82300,600,6.3,800,6.9,17929.65
17600,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17600.00,6542,-3707,-36.16938237876866,72379,35.67,403.65,205.55,103.76072690560324,94350,21350,100,400.85,100,403.85,17929.65
17600,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17600.00,56050,25890,85.842175066313,923907,18.18,8.4,-83.89999999999999,-90.89924160346696,109750,400650,200,8.4,500,8.45,17929.65
17650,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17650.00,2533,-1191,-31.981740064446832,64229,32.75,354.0,186.4,111.21718377088304,86500,28200,50,345.5,750,357.75,17929.65
17650,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17650.00,19075,11923,166.7086129753915,389831,17.62,11.8,-100.75,-89.51577076854731,80200,119150,800,11.05,500,11.8,17929.65
17700,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17700.00,20698,-6256,-23.209913185427023,350655,31.29,311.2,168.7,118.38596491228068,113750,40600,100,309.0,100,311.05,17929.65
17700,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17700.00,71532,39487,123.22359182399752,1221023,16.89,16.05,-116.2,-87.86389413988658,106000,456600,50,15.5,300,16.35,17929.65
17750,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17750.00,6053,-2260,-27.18633465656201,306433,29.16,266.5,149.4,127.58326216908628,93700,22150,50,264.15,1100,268.5,17929.65
17750,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17750.00,33400,27588,474.6730901582932,595139,16.03,21.45,-138.35000000000002,-86.57697121401753,92600,187050,150,21.6,300,21.65,17929.65
17800,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17800.00,46200,-7239,-13.546286420030317,1206602,27.04,223.0,127.35,133.14166231050703,145000,89550,500,223.05,2800,225.0,17929.65
17800,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17800.00,83777,50347,150.604247681723,1302041,15.53,30.4,-156.6,-83.74331550802138,116750,548250,1400,29.5,200,30.4,17929.65
17850,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17850.00,10760,-1265,-10.51975051975052,507150,25.87,186.0,109.0,141.55844155844156,111200,57500,50,184.05,950,185.95,17929.65
17850,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17850.00,22255,18381,474.4708311822406,357986,14.35,39.3,-179.95,-82.07525655644241,123500,142500,800,39.25,1450,40.0,17929.65
17900,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17900.00,43067,-4958,-10.323789692868298,1166486,24.41,149.8,88.20000000000002,143.18181818181822,188450,162800,50,148.35,8250,150.0,17929.65
17900,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17900.00,39290,20221,106.04121873197336,654880,13.77,54.8,-197.8,-78.30562153602534,379100,240750,150,53.15,50,54.9,17929.65
17950,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17950.00,23044,8202,55.26209405740466,492144,23.01,116.7,67.65,137.9204892966361,130150,118750,200,116.7,150,117.9,17929.65
17950,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17950.00,8642,6552,313.4928229665072,169677,12.58,72.0,-216.85,-75.07356759563788,131950,45050,400,72.0,1500,72.95,17929.65
18000,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE18000.00,125997,-17677,-12.30354831075908,1697382,22.05,89.2,50.45,130.19354838709677,439400,530100,900,89.2,550,89.5,17929.65
18000,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE18000.00,43250,12244,39.489131135909176,337360,11.5,95.95,-238.2,-71.28535089031872,172250,101250,1400,94.5,300,95.9,17929.65
18050,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE18050.00,23442,-1001,-4.095241991572229,451103,21.43,67.0,36.85,122.22222222222224,170250,137450,100,66.05,8300,67.0,17929.65
18050,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE18050.00,2358,1201,103.80293863439933,25525,8.97,121.9,-246.45,-66.90647482014388,328850,18350,50,121.0,50,123.0,17929.65
18100,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE18100.00,69610,7667,12.377508354454902,995493,20.59,47.5,23.1,94.672131147541,272900,337350,4550,47.5,5450,48.0,17929.65
18100,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE18100.00,6000,-1085,-15.314043754410728,43516,0.0,152.45,-253.0,-62.39980268837094,129100,29300,750,151.65,100,154.0,17929.65
18150,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE18150.00,25255,5962,30.90239983413673,379964,20.25,33.75,14.35,73.96907216494847,168950,128900,150,33.75,3100,34.0,17929.65
18150,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE18150.00,932,-58,-5.858585858585859,5910,0.0,188.35,-274.70000000000005,-59.32404707914913,342950,16300,50,187.65,50,189.9,17929.65
18200,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE18200.00,98802,17787,21.95519348268839,958234,19.88,23.0,7.25,46.03174603174603,379500,411650,450,22.8,1200,23.1,17929.65
18200,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE18200.00,7130,-2512,-26.05268616469612,25823,0.0,229.2,-279.75,-54.96610669024462,103850,24000,800,226.6,800,229.2,17929.65
